ID,Type,Requirement,AcceptanceCriteria,VerificationMethod,TestCases,Responsible,Priority
UC01-F1,Funktional,Das System muss die Registrierung von Nutzer:innen mittels E-Mail und Passwort ermöglichen.,Neue Registrierung mit gültiger E-Mail und Passwort erzeugt einen Datensatz.,TST,"TC-UC01-01, TC-UC01-02, TC-UC01-03",Product Owner,Muss
UC01-F2,Funktional,"Das System muss prüfen, ob eine E-Mail bereits existiert und doppelte Konten verhindern.",Registrierung mit existierender E-Mail erzeugt eine Fehlermeldung und kein Konto.,TST,"TC-UC01-01, TC-UC01-02, TC-UC01-03",Product Owner,Muss
UC01-F3,Funktional,Das System muss den Login mit E-Mail und Passwort erlauben.,Gültige Login-Daten öffnen das Dashboard.,TST,"TC-UC01-01, TC-UC01-02, TC-UC01-03",Nutzer:in,Muss
UC01-F4,Funktional,Nach erfolgreichem Login muss das Dashboard angezeigt werden.,Nach Login wird das personalisierte Dashboard geladen.,TST,"TC-UC01-01, TC-UC01-02, TC-UC01-03",Product Owner,Muss
UC01-NF1,Nicht-funktional,Passwörter dürfen nicht im Klartext gespeichert werden.,Passwort-Hashes (z. B. bcrypt) sind in der Datenbank nachweisbar.,ANL/TST,TC-UC01-NF-01,Security Officer,Muss
UC01-NF2,Nicht-funktional,Fehlermeldungen dürfen keine Information über existierende Accounts preisgeben.,Einheitliche Fehlermeldung „E-Mail oder Passwort falsch“ wird angezeigt.,ANL/TST,TC-UC01-NF-01,Security Officer,Muss
UC02-F1,Funktional,System muss über „Passwort vergessen“ eine E-Mail zum Zurücksetzen anfordern lassen.,Klick auf „Passwort vergessen“ führt zu E-Mail-Versand.,INS,TC-UC02-01 (Deviation),Nutzer:in,Muss
UC02-F2,Funktional,System muss einen zeitlich begrenzten Token generieren und versenden.,"Token ist 30 min gültig, danach ungültig.",INS,TC-UC02-02 (Deviation),Entwicklerteam,Muss
UC02-F3,Funktional,Über den Link kann ein neues Passwort gesetzt werden.,Eingabe und Bestätigung neuen Passworts erfolgreich möglich.,INS,TC-UC02-03 (Deviation),Nutzer:in,Muss
UC02-F4,Funktional,Nach Setzen des neuen Passworts muss das alte ungültig sein.,Login mit altem Passwort schlägt fehl.,INS,TC-UC02-03 (Deviation),Security Officer,Muss
UC02-NF1,Nicht-funktional,Antwort bei „Passwort vergessen“ ist immer neutral.,"System meldet stets „E-Mail gesendet, falls registriert“.",INS,TC-UC02-01 (Deviation),Security Officer,Muss
UC02-NF2,Nicht-funktional,Reset-Link hat Ablaufzeit.,Link läuft nach 30 min automatisch ab.,INS,TC-UC02-02 (Deviation),Entwicklerteam,Muss
UC03-F1,Funktional,System zeigt aktuelle Profildaten an.,Anzeige aller gespeicherten Felder im UI.,TST,"TC-UC03-01, TC-UC03-02",Nutzer:in,Muss
UC03-F2,Funktional,"System erlaubt Änderungen an Name, Studiengang und Avatar.",Änderungen werden gespeichert und korrekt dargestellt.,TST,"TC-UC03-01, TC-UC03-02",Nutzer:in,Soll
UC03-F3,Funktional,Änderungen werden gespeichert und angezeigt.,Aktualisierte Daten erscheinen nach Speichern erneut.,TST,"TC-UC03-01, TC-UC03-02",Entwicklerteam,Muss
UC03-NF1,Nicht-funktional,Nur eingeloggte Nutzer:innen dürfen ihr Profil ändern.,Zugriff auf Profiländerung nur mit gültiger Session.,ANL/TST,TC-UC03-NF-01,Security Officer,Muss
UC03-NF2,Nicht-funktional,System zeigt verständliche Fehlermeldungen bei Eingabefehlern.,Fehlermeldungen enthalten klare Ursachenbeschreibung.,ANL/TST,TC-UC03-NF-01,UX-Designer,Soll
UC04-F1,Funktional,System ermöglicht Auswahl einer verfügbaren Lernquest.,Auswahl aus Quests im UI möglich.,TST,"TC-UC04-01, TC-UC04-02",Product Owner,Muss
UC04-F2,Funktional,System ermöglicht Start der gewählten Quest.,Klick auf „Starten“ setzt Queststatus auf „aktiv“.,TST,"TC-UC04-01, TC-UC04-02",Entwicklerteam,Muss
UC04-F3,Funktional,System speichert Startzeitpunkt.,Datenbank enthält Timestamp beim Start.,TST,"TC-UC04-01, TC-UC04-02",Entwicklerteam,Muss
UC04-F4,Funktional,Nur eine aktive Quest pro Nutzer:in.,"Versuch, zweite Quest zu starten → Fehlermeldung.",TST,"TC-UC04-01, TC-UC04-02",Product Owner,Muss
UC04-F5,Funktional,Bei aktiver Quest wird Start weiterer Quests blockiert.,Meldung „Eine Quest ist bereits aktiv“ erscheint.,TST,"TC-UC04-01, TC-UC04-02",Entwicklerteam,Muss
UC04-NF1,Nicht-funktional,Statuswechsel auf „aktiv“ erfolgt in ≤ 1 Sekunde.,Zeitmessung bestätigt ≤ 1 Sekunde Reaktion.,ANL/TST,TC-UC04-NF-01,UX-Tester,Soll
UC04-NF2,Nicht-funktional,Aktionen nur für authentifizierte Nutzer:innen verfügbar.,Client-seitig: Navigation/Action nur mit Session möglich.,ANL/TST,TC-UC04-NF-01,Security Officer,Muss
UC04-NF3,Nicht-funktional,Starten der Quest wird serverseitig protokolliert.,In v1.0 nur lokale/Console-Protokollierung (kein Server-Log).,INS,TC-UC04-NF-01 (Deviation),Entwicklerteam,Soll
UC05-F1,Funktional,System ermöglicht Markierung einer aktiven Quest als abgeschlossen.,Button „Abschließen“ sichtbar und funktionsfähig.,TST,"TC-UC05-01, TC-UC05-02, TC-UC05-03",Nutzer:in,Muss
UC05-F2,Funktional,System vergibt automatisch XP beim Abschluss.,XP-Wert wird zur Gesamtsumme addiert.,TST,"TC-UC05-01, TC-UC05-02, TC-UC05-03",Product Owner,Muss
UC05-F3,Funktional,System prüft Level-Up bei XP-Grenze.,Bei Überschreitung → Level-Anzeige aktualisiert.,TST,"TC-UC05-01, TC-UC05-02, TC-UC05-03",Entwicklerteam,Soll
UC05-F4,Funktional,System zeigt Level-Up visuell an.,Popup / Banner erscheint bei Level-Up.,TST,"TC-UC05-01, TC-UC05-02, TC-UC05-03",UX-Designer,Soll
UC05-F5,Funktional,System speichert Endzeitpunkt und Status „abgeschlossen“.,Timestamp im Datensatz gespeichert.,TST,"TC-UC05-01, TC-UC05-02, TC-UC05-03",Entwicklerteam,Muss
UC05-NF1,Nicht-funktional,Abschlussreaktion ≤ 2 Sekunden.,Messung bestätigt Reaktionszeit ≤ 2 Sekunden.,ANL/TST,TC-UC05-NF-01,Tester,Soll
UC05-NF2,Nicht-funktional,XP-Vergabe atomar.,Doppelklick erzeugt keine Mehrfach-XP.,ANL/TST,TC-UC05-NF-01,Entwicklerteam,Muss
UC05-NF3,Nicht-funktional,Level-Up-Event wird protokolliert.,In v1.0 nur lokale/Console-Protokollierung (kein persistentes Auditlog).,INS,TC-UC05-NF-01 (Deviation),Security Officer,Soll
UC05-NF4,Nicht-funktional,Nur abgeschlossene Quests zählen für XP.,Nicht-abgeschlossene Quests werden ignoriert.,ANL/TST,TC-UC05-NF-01,Product Owner,Muss
UC06-F1,Funktional,System ermöglicht Start eines Lern-Timers.,Klick auf „Start“ startet Timer.,TST,"TC-UC06-01, TC-UC06-02, TC-UC06-03, TC-UC06-04",Nutzer:in,Muss
UC06-F2,Funktional,System speichert Startzeit und Laufzeit.,Startzeit in Datenbank protokolliert.,TST,"TC-UC06-01, TC-UC06-02, TC-UC06-03, TC-UC06-04",Entwicklerteam,Muss
UC06-F3,Funktional,System ermöglicht Pausieren und Fortsetzen.,Timer reagiert korrekt auf Pause/Fortsetzen.,INS,TC-UC06-02 (Deviation),UX-Designer,Soll
UC06-F4,Funktional,System berechnet und speichert Gesamtdauer beim Stoppen.,Dauer = Stop-Zeit − Start-Zeit.,TST,"TC-UC06-01, TC-UC06-02, TC-UC06-03, TC-UC06-04",Entwicklerteam,Muss
UC06-F5,Funktional,System vergibt optional XP nach Lernzeit.,XP = 1 / 5 Minuten gespeichert.,TST,"TC-UC06-01, TC-UC06-02, TC-UC06-03, TC-UC06-04",Product Owner,Soll
UC06-F6,Funktional,Nur ein aktiver Timer pro Nutzer:in erlaubt.,Zweiter Startversuch blockiert.,TST,"TC-UC06-01, TC-UC06-02, TC-UC06-03, TC-UC06-04",Entwicklerteam,Muss
UC06-F7,Funktional,System puffert Zeitdaten bei Verbindungsabbruch.,Synchronisierung nach Reconnect erfolgreich.,INS,TC-UC06-04 (Deviation),Entwicklerteam,Soll
UC06-NF1,Nicht-funktional,Zeitabweichung ≤ 1 Minute.,Vergleich UI/DB ≤ 1 Minute Differenz.,ANL/TST,TC-UC06-NF-01,Tester,Soll
UC06-NF2,Nicht-funktional,Timerdaten bleiben nach Reload erhalten.,Refresh des Tabs erhält Timerstatus.,ANL/TST,TC-UC06-NF-01,UX-Tester,Soll
